- banner:
    - text: where I just put in different snapshots of how I did uh throughout progression.
  - button "1分钟10秒钟 So, day one to day five. Let's talk about all the changes that happened this patch. We will deal approximately 20% less damage, sometimes a little bit less":
    - generic: 1:10
    - generic: 1分钟10秒钟
    - text: So, day one to day five. Let's talk about all the changes that happened this patch. We will deal approximately 20% less damage, sometimes a little bit less
  - button "第 2 章：Changes After this Patch":
    - heading "第 2 章：Changes After this Patch" [level=3]
  - button "1分钟18秒钟 during progression, but overall that is kind of where it's going to jive in. Uh the TLDDR of what happened if you haven't watched the video which I will":
    - generic: 1:18
    - generic: 1分钟18秒钟
    - text: during progression, but overall that is kind of where it's going to jive in. Uh the TLDDR of what happened if you haven't watched the video which I will
  - button "1分钟25秒钟 link down below in the description where I talk about it is we do not have to go to the middle of the tree anymore and grab these reduced duration notes which turns out is actually pretty huge":
    - generic: 1:25
    - generic: 1分钟25秒钟
    - text: link down below in the description where I talk about it is we do not have to go to the middle of the tree anymore and grab these reduced duration notes which turns out is actually pretty huge
  - button "1分钟33秒钟 because we save like 15 points but obviously there's also nerfs accompanying it. So all the nerfs and the buffs included come out to around":
    - generic: 1:33
    - generic: 1分钟33秒钟
    - text: because we save like 15 points but obviously there's also nerfs accompanying it. So all the nerfs and the buffs included come out to around
  - button "1分钟43秒钟 20% less damage. The build will also be a little bit squishier because we will be using Wilma's Reququid which is one of the items we couldn't really use":
    - generic: 1:43
    - generic: 1分钟43秒钟
    - text: 20% less damage. The build will also be a little bit squishier because we will be using Wilma's Reququid which is one of the items we couldn't really use
  - button "1分钟51秒钟 before. It gives us a ton of extra attack speed because Caspie gets converted and uh that wasn't really in the cards because then yeah, the build would be screwed. But now you can.":
    - generic: 1:51
    - generic: 1分钟51秒钟
    - text: before. It gives us a ton of extra attack speed because Caspie gets converted and uh that wasn't really in the cards because then yeah, the build would be screwed. But now you can.
  - button "2分钟 You're basically using it to counteract some of the nerfs and some of the slower projectiles. And on top of that, it will":
    - generic: 2:00
    - generic: 2分钟
    - text: You're basically using it to counteract some of the nerfs and some of the slower projectiles. And on top of that, it will
  - button "2分钟8秒钟 feel like the build will feel a little bit slower in terms of how its delay goes because it has less attack speed.":
    - generic: 2:08
    - generic: 2分钟8秒钟
    - text: feel like the build will feel a little bit slower in terms of how its delay goes because it has less attack speed.
  - button "2分钟13秒钟 So that's before you get Wilma's Reququid. This helmet is a tier three unique. So at most it can cost like a divine or so. The mana cost increases":
    - generic: 2:13
    - generic: 2分钟13秒钟
    - text: So that's before you get Wilma's Reququid. This helmet is a tier three unique. So at most it can cost like a divine or so. The mana cost increases
  - button "2分钟22秒钟 which doesn't really matter other than that you have to think about to leave a little bit more open because the hero recovery is just that crazy. So um it doesn't really make a dent there.":
    - generic: 2:22
    - generic: 2分钟22秒钟
    - text: which doesn't really matter other than that you have to think about to leave a little bit more open because the hero recovery is just that crazy. So um it doesn't really make a dent there.
  - button "2分钟32秒钟 Overall I do think that the character because of these changes has less late game potential talking about 100 plus div but is still a great starter for the":
    - generic: 2:32
    - generic: 2分钟32秒钟
    - text: Overall I do think that the character because of these changes has less late game potential talking about 100 plus div but is still a great starter for the
  - button "2分钟40秒钟 first few days. Now, I personally always use these as starters to kickstart my second build, but I'm just saying this for people who just want to play one":
    - generic: 2:40
    - generic: 2分钟40秒钟
    - text: first few days. Now, I personally always use these as starters to kickstart my second build, but I'm just saying this for people who just want to play one
  - button "2分钟48秒钟 build and one build only. This build will be very efficient up to a certain point and afterwards there is more currency efficient options. Also, what":
    - generic: 2:48
    - generic: 2分钟48秒钟
    - text: build and one build only. This build will be very efficient up to a certain point and afterwards there is more currency efficient options. Also, what
  - button "2分钟55秒钟 happens for everyone is we lost imbuss, which means that we don't get seven links anymore. So, 15 to 20% less damage, uh just a little bit less power":
    - generic: 2:55
    - generic: 2分钟55秒钟
    - text: happens for everyone is we lost imbuss, which means that we don't get seven links anymore. So, 15 to 20% less damage, uh just a little bit less power
  - button "3分钟3秒钟 creep. This happened to everybody. Now, there is some pluses to what happened right here. The build is a lot easier to play now, and that is because of how the":
    - generic: 3:03
    - generic: 3分钟3秒钟
    - text: creep. This happened to everybody. Now, there is some pluses to what happened right here. The build is a lot easier to play now, and that is because of how the
  - button "3分钟11秒钟 changes were made. It has less attack speed, but also less duration, which is actually an upside, which means that we do not have to use certain unique items":
    - generic: 3:11
    - generic: 3分钟11秒钟
    - text: changes were made. It has less attack speed, but also less duration, which is actually an upside, which means that we do not have to use certain unique items
  - button "3分钟19秒钟 anymore or have to craft expensive dust rings anymore. And I already talked about obviously the middle of the passive tree, which we can just leave":
    - generic: 3:19
    - generic: 3分钟19秒钟
    - text: anymore or have to craft expensive dust rings anymore. And I already talked about obviously the middle of the passive tree, which we can just leave
  - button "3分钟26秒钟 alone. And the build is therefore also a lot easier to play. You don't really even have to worry about attack speed until very late in the in the end game":
    - generic: 3:26
    - generic: 3分钟26秒钟
    - text: alone. And the build is therefore also a lot easier to play. You don't really even have to worry about attack speed until very late in the in the end game
  - button "3分钟34秒钟 anymore. and you don't have to import your character while leveling and think about that and sometimes your shotguning potential goes away. That doesn't really":
    - generic: 3:34
    - generic: 3分钟34秒钟
    - text: anymore. and you don't have to import your character while leveling and think about that and sometimes your shotguning potential goes away. That doesn't really
  - button "3分钟41秒钟 happen anymore. The ratio from attack speed to duration is now really really easy to handle. But the overall TLDDR is the build is less powerful but easier to":
    - generic: 3:41
    - generic: 3分钟41秒钟
    - text: happen anymore. The ratio from attack speed to duration is now really really easy to handle. But the overall TLDDR is the build is less powerful but easier to
  - button "第 3 章：Kinetic Fusillade Mechanics":
    - heading "第 3 章：Kinetic Fusillade Mechanics" [level=3]
  - button "3分钟50秒钟 play. Now first, how does the skill actually work? So whenever you right click kinetic fusilad, which is this gem right here, attack projectile duration":
    - generic: 3:50
    - generic: 3分钟50秒钟
    - text: play. Now first, how does the skill actually work? So whenever you right click kinetic fusilad, which is this gem right here, attack projectile duration
  - button "3分钟57秒钟 AOE, um you will collect these projectiles over you. it will kind of like go up to 12 and then at some point you can I don't know move away and it":
    - generic: 3:57
    - generic: 3分钟57秒钟
    - text: AOE, um you will collect these projectiles over you. it will kind of like go up to 12 and then at some point you can I don't know move away and it
  - button "4分钟6秒钟 releases. That's obviously not how you want to play this game. So uh what you can do is you can actually reduce the duration of the release to make it so":
    - generic: 4:06
    - generic: 4分钟6秒钟
    - text: releases. That's obviously not how you want to play this game. So uh what you can do is you can actually reduce the duration of the release to make it so
  - button "4分钟13秒钟 that the attack time is bigger than the duration of the skill. And in that case what you will have is a instant release":
    - generic: 4:13
    - generic: 4分钟13秒钟
    - text: that the attack time is bigger than the duration of the skill. And in that case what you will have is a instant release
  - button "4分钟21秒钟 which would look a little bit more like this. You right click and it just constantly releases it over and over.":
    - generic: 4:21
    - generic: 4分钟21秒钟
    - text: which would look a little bit more like this. You right click and it just constantly releases it over and over.
  - button "4分钟26秒钟 Now if you also put on ballista support the attack speed will be even lower. So you can plop down ballistas and they will constantly shoot just over and over":
    - generic: 4:26
    - generic: 4分钟26秒钟
    - text: Now if you also put on ballista support the attack speed will be even lower. So you can plop down ballistas and they will constantly shoot just over and over
  - button "4分钟35秒钟 and over. Now this used to be annoying and I'm still on the old patch so I still have to take these reduced duration nodes and whatnot. But on the new patch and the way kinetic fusel":
    - generic: 4:35
    - generic: 4分钟35秒钟
    - text: and over. Now this used to be annoying and I'm still on the old patch so I still have to take these reduced duration nodes and whatnot. But on the new patch and the way kinetic fusel
  - button "4分钟43秒钟 changed, you don't have to worry about that anymore. You will not path to the middle of the tree anymore. All you need to do is have less duration and you want to level this up as high as possible.":
    - generic: 4:43
    - generic: 4分钟43秒钟
    - text: changed, you don't have to worry about that anymore. You will not path to the middle of the tree anymore. All you need to do is have less duration and you want to level this up as high as possible.
  - button "4分钟51秒钟 And also important with these socket changes next patch, whatever you put into a socket of its color. So, for example, if you put less duration in a":
    - generic: 4:51
    - generic: 4分钟51秒钟
    - text: And also important with these socket changes next patch, whatever you put into a socket of its color. So, for example, if you put less duration in a
  - button "4分钟58秒钟 red color, you get 10% quality, which is even less duration, which is huge. It allows you to go for 3.7 attacks per":
    - generic: 4:58
    - generic: 4分钟58秒钟
    - text: red color, you get 10% quality, which is even less duration, which is huge. It allows you to go for 3.7 attacks per
  - button "5分钟5秒钟 second instead of 3.3. Big deal. That is all you have to think about in terms of duration. No more itemization, no more anything else. Also important to":
    - generic: 5:05
    - generic: 5分钟5秒钟
    - text: second instead of 3.3. Big deal. That is all you have to think about in terms of duration. No more itemization, no more anything else. Also important to
  - button "5分钟14秒钟 know about this skill is additional projectile shotgun. So, they will hit the same target and therefore be more damage multipliers. So stuff like reign":
    - generic: 5:14
    - generic: 5分钟14秒钟
    - text: know about this skill is additional projectile shotgun. So, they will hit the same target and therefore be more damage multipliers. So stuff like reign
  - button "5分钟22秒钟 of splinters and also the wand mastery right here that grants an additional projectiles are highly highly valuable.":
    - generic: 5:22
    - generic: 5分钟22秒钟
    - text: of splinters and also the wand mastery right here that grants an additional projectiles are highly highly valuable.
  - button "5分钟29秒钟 The only thing regarding projectiles is it increases your duration but it is still worthwhile and still easy to manage. So you have the 0.5 base":
    - generic: 5:29
    - generic: 5分钟29秒钟
    - text: The only thing regarding projectiles is it increases your duration but it is still worthwhile and still easy to manage. So you have the 0.5 base
  - button "5分钟37秒钟 duration which is the new base duration of kinetic fuselot plus 0.05 times the number of projectiles. So it makes the":
    - generic: 5:37
    - generic: 5分钟37秒钟
    - text: duration which is the new base duration of kinetic fuselot plus 0.05 times the number of projectiles. So it makes the
  - button "5分钟44秒钟 duration slightly longer just so you know. Next up, why totems? So on this build, we put ballista totem support on kinetic fuselot. So our ballistas fire":
    - generic: 5:44
    - generic: 5分钟44秒钟
    - text: duration slightly longer just so you know. Next up, why totems? So on this build, we put ballista totem support on kinetic fuselot. So our ballistas fire
  - button "第 4 章：Why Totems?":
    - heading "第 4 章：Why Totems?" [level=3]
  - button "5分钟53秒钟 the skill instead of us. And that is because the downside of ballista totem comes in the form of less attack speed, not less damage, which actually makes it":
    - generic: 5:53
    - generic: 5分钟53秒钟
    - text: the skill instead of us. And that is because the downside of ballista totem comes in the form of less attack speed, not less damage, which actually makes it
  - button "6分钟1秒钟 synergistic with kinetic fuse a lot and how it works. It's also easy to play on bosses and has a high damage uptime, meaning that you can do mechanics and get out of the way and your totems will":
    - generic: 6:01
    - generic: 6分钟1秒钟
    - text: synergistic with kinetic fuse a lot and how it works. It's also easy to play on bosses and has a high damage uptime, meaning that you can do mechanics and get out of the way and your totems will
  - button "6分钟9秒钟 still deal damage. Also, use the play style. Actually, don't like just shield charge into a pack without doing anything. uh plan ahead and use your":
    - generic: 6:09
    - generic: 6分钟9秒钟
    - text: still deal damage. Also, use the play style. Actually, don't like just shield charge into a pack without doing anything. uh plan ahead and use your
  - button "第 5 章：Damage Scaling":
    - heading "第 5 章：Damage Scaling" [level=3]
  - button "6分钟18秒钟 range. Next up, we have the damage scaling. How do you actually deal damage on this build? You want added damage everywhere. It's an attack so you can get it on jewelry. For example, this is":
    - generic: 6:18
    - generic: 6分钟18秒钟
    - text: range. Next up, we have the damage scaling. How do you actually deal damage on this build? You want added damage everywhere. It's an attack so you can get it on jewelry. For example, this is
  - button "6分钟26秒钟 my early progression act three. As soon as you get the craft, put it on as soon as possible. Obviously, if you find rings and jewelry in general that has":
    - generic: 6:26
    - generic: 6分钟26秒钟
    - text: my early progression act three. As soon as you get the craft, put it on as soon as possible. Obviously, if you find rings and jewelry in general that has
  - button "6分钟33秒钟 flat damage, even better. Stuff like prison weave is an absolute godsend early on. Anything that makes it less important to actually have a good wand":
    - generic: 6:33
    - generic: 6分钟33秒钟
    - text: flat damage, even better. Stuff like prison weave is an absolute godsend early on. Anything that makes it less important to actually have a good wand
  - button "6分钟42秒钟 cuz otherwise uh yeah, you can really brick on your wand early on. We also have auras for that. For example, we use anger. On top of that, we can also use":
    - generic: 6:42
    - generic: 6分钟42秒钟
    - text: cuz otherwise uh yeah, you can really brick on your wand early on. We also have auras for that. For example, we use anger. On top of that, we can also use
  - button "6分钟49秒钟 increased spell damage. It works on kinetic fuselot because it has a line right here where it converts spell damage to attack damage at 150% of its":
    - generic: 6:49
    - generic: 6分钟49秒钟
    - text: increased spell damage. It works on kinetic fuselot because it has a line right here where it converts spell damage to attack damage at 150% of its
  - button "6分钟58秒钟 value, which means that, for example, 10 spell damage equals 15 attack damage.":
    - generic: 6:58
    - generic: 6分钟58秒钟
    - text: value, which means that, for example, 10 spell damage equals 15 attack damage.
  - button "7分钟1秒钟 Otherwise, everything goes. All the usual crit, all the wand nodes, all the totem notes, they all work. As for defenses, this is not an especially tanky build. If you're used to stuff":
    - generic: 7:01
    - generic: 7分钟1秒钟
    - text: Otherwise, everything goes. All the usual crit, all the wand nodes, all the totem notes, they all work. As for defenses, this is not an especially tanky build. If you're used to stuff
  - button "第 6 章：Defenses":
    - heading "第 6 章：Defenses" [level=3]
  - button "7分钟10秒钟 like for example righteous fire, this build will be a lot higher damage but also squishier. So you need to also make use of your play style. Now in endgame":
    - generic: 7:10
    - generic: 7分钟10秒钟
    - text: like for example righteous fire, this build will be a lot higher damage but also squishier. So you need to also make use of your play style. Now in endgame
  - button "7分钟18秒钟 we do have a version where I go into agus aurora which gives you good recovery and in general just really good mapping":
    - generic: 7:18
    - generic: 7分钟18秒钟
    - text: we do have a version where I go into agus aurora which gives you good recovery and in general just really good mapping
  - button "7分钟26秒钟 defense. So in mapping you can get quite tanky. But for example on bosses you're not going to be tanking any slams anytime soon. So, if you're not really":
    - generic: 7:26
    - generic: 7分钟26秒钟
    - text: defense. So in mapping you can get quite tanky. But for example on bosses you're not going to be tanking any slams anytime soon. So, if you're not really
  - button "7分钟34秒钟 into that and you you're more accustomed to chieftains or juggernauts, then I would highly recommend not to go for this build. Then, let's talk about the ascendancy. We're going for Hero.":
    - generic: 7:34
    - generic: 7分钟34秒钟
    - text: into that and you you're more accustomed to chieftains or juggernauts, then I would highly recommend not to go for this build. Then, let's talk about the ascendancy. We're going for Hero.
  - button "第 7 章：Ascendancy":
    - heading "第 7 章：Ascendancy" [level=3]
  - button "7分钟42秒钟 There's a few viable options, but this is the one that carries the most in my opinion because it has a ton of intrinsic totem placement speed. If you don't know what that is, it determines":
    - generic: 7:42
    - generic: 7分钟42秒钟
    - text: There's a few viable options, but this is the one that carries the most in my opinion because it has a ton of intrinsic totem placement speed. If you don't know what that is, it determines
  - button "7分钟51秒钟 how long I pop it up. So, for example, right now I'm on a test character and I have no placement speed. And look how long it takes me to place it down and how long it takes for the totem to plop":
    - generic: 7:51
    - generic: 7分钟51秒钟
    - text: how long I pop it up. So, for example, right now I'm on a test character and I have no placement speed. And look how long it takes me to place it down and how long it takes for the totem to plop
  - button "8分钟 up. That is ridiculous. that will be like three times as fast on a hero and that is because you don't need to itemize into it. You just get it on the":
    - generic: 8:00
    - generic: 8分钟
    - text: up. That is ridiculous. that will be like three times as fast on a hero and that is because you don't need to itemize into it. You just get it on the
  - button "8分钟7秒钟 ascendancy also plus one. Totem duration is pretty much negligible. So these two nodes also have 20 placement speed for a total of 140. This node right here is":
    - generic: 8:07
    - generic: 8分钟7秒钟
    - text: ascendancy also plus one. Totem duration is pretty much negligible. So these two nodes also have 20 placement speed for a total of 140. This node right here is
  - button "8分钟15秒钟 one of the nerfs this patch. The 5% more damage goes down to 3% more damage, but we don't really spam crazy amounts. Like for example, siege ballista. So for us,":
    - generic: 8:15
    - generic: 8分钟15秒钟
    - text: one of the nerfs this patch. The 5% more damage goes down to 3% more damage, but we don't really spam crazy amounts. Like for example, siege ballista. So for us,
  - button "8分钟23秒钟 this results in like 9% less damage, which is already calced in uh what I said at the start about the changes. It still fixes our mana and it still fixes our recovery. So there you go. It's":
    - generic: 8:23
    - generic: 8分钟23秒钟
    - text: this results in like 9% less damage, which is already calced in uh what I said at the start about the changes. It still fixes our mana and it still fixes our recovery. So there you go. It's
  - button "8分钟32秒钟 still extremely strong. And then at the end we got conviction of power which gives us power and endurance charges.":
    - generic: 8:32
    - generic: 8分钟32秒钟
    - text: still extremely strong. And then at the end we got conviction of power which gives us power and endurance charges.
  - button "8分钟37秒钟 Huge because we can't really power charge on hit because we are basically not hitting only our totems are. We still get frenzy generally from um":
    - generic: 8:37
    - generic: 8分钟37秒钟
    - text: Huge because we can't really power charge on hit because we are basically not hitting only our totems are. We still get frenzy generally from um
  - button "8分钟45秒钟 pressing frenzy. Now as for the last ascendy, this one's a little bit rougher. I'm actually going for a owl.":
    - generic: 8:45
    - generic: 8分钟45秒钟
    - text: pressing frenzy. Now as for the last ascendy, this one's a little bit rougher. I'm actually going for a owl.
  - button "8分钟50秒钟 Uh farming this one yourself is quite annoying. On trade you can buy a carry.":
    - generic: 8:50
    - generic: 8分钟50秒钟
    - text: Uh farming this one yourself is quite annoying. On trade you can buy a carry.
  - button "8分钟54秒钟 If you can do it yourself, that's totally fine. It's more about actually finding and all. Uh this one gives you anger and determination aura effect.":
    - generic: 8:54
    - generic: 8分钟54秒钟
    - text: If you can do it yourself, that's totally fine. It's more about actually finding and all. Uh this one gives you anger and determination aura effect.
  - button "9分钟2秒钟 There is some other options like for example you can go for synaptic rings and completely ignore lightning resistance whatsoever. In that case you":
    - generic: 9:02
    - generic: 9分钟2秒钟
    - text: There is some other options like for example you can go for synaptic rings and completely ignore lightning resistance whatsoever. In that case you
  - button "9分钟9秒钟 would remove the elemental weakness and I might end up doing that but then again you have to craft synaptic rings which is a little bit more annoying to do.":
    - generic: 9:09
    - generic: 9分钟9秒钟
    - text: would remove the elemental weakness and I might end up doing that but then again you have to craft synaptic rings which is a little bit more annoying to do.
  - 'button "第 8 章：Progression: Campaign"':
    - 'heading "第 8 章：Progression: Campaign" [level=3]'
  - button "9分钟17秒钟 Next up let's go through progression.":
    - generic: 9:17
    - generic: 9分钟17秒钟
    - text: Next up let's go through progression.
  - button "9分钟18秒钟 Uh, I will be talking about all the leveling in a separate video, but all you need to know is, uh, end of act three or start of act four, I will be transitioning into kinetic fuselot with":
    - generic: 9:18
    - generic: 9分钟18秒钟
    - text: Uh, I will be talking about all the leveling in a separate video, but all you need to know is, uh, end of act three or start of act four, I will be transitioning into kinetic fuselot with
  - button "9分钟27秒钟 ballista. What you need to transition is less duration, a fourlink as per usual.":
    - generic: 9:27
    - generic: 9分钟27秒钟
    - text: ballista. What you need to transition is less duration, a fourlink as per usual.
  - button "9分钟32秒钟 The colors are not as important anymore, so it should be rather easy. Uh, important to note is that you want less duration in a red socket. And if you":
    - generic: 9:32
    - generic: 9分钟32秒钟
    - text: The colors are not as important anymore, so it should be rather easy. Uh, important to note is that you want less duration in a red socket. And if you
  - button "9分钟39秒钟 can, can fuse a lot in a blue socket, but it has less priority early on. Like I said, you want a lot of flat damage.":
    - generic: 9:39
    - generic: 9分钟39秒钟
    - text: can, can fuse a lot in a blue socket, but it has less priority early on. Like I said, you want a lot of flat damage.
  - button "9分钟44秒钟 You want a good wand as much as possible. attack speed crit is also very very strong on a shield some spell damage. The two uniques that will":
    - generic: 9:44
    - generic: 9分钟44秒钟
    - text: You want a good wand as much as possible. attack speed crit is also very very strong on a shield some spell damage. The two uniques that will
  - button "9分钟53秒钟 catapult your damage is do tenure which is very cheap because gives you 100% spell damage which is 150% attack damage and prison wave is just a ton of extra":
    - generic: 9:53
    - generic: 9分钟53秒钟
    - text: catapult your damage is do tenure which is very cheap because gives you 100% spell damage which is 150% attack damage and prison wave is just a ton of extra
  - button "10分钟1秒钟 stats on the tree. You can see that early on we go elemental overload and it's very important that you unspec this node once you go crit which is down here":
    - generic: 10:01
    - generic: 10分钟1秒钟
    - text: stats on the tree. You can see that early on we go elemental overload and it's very important that you unspec this node once you go crit which is down here
  - button "10分钟8秒钟 at act 10 which is the crit respspec and then you can see we're taking all the critical strike nodes. EO literally makes it so you cannot deal extra damage":
    - generic: 10:08
    - generic: 10分钟8秒钟
    - text: at act 10 which is the crit respspec and then you can see we're taking all the critical strike nodes. EO literally makes it so you cannot deal extra damage
  - button "10分钟17秒钟 from crits. So that is very very important. That's a pretty important step in the progression. Other than that, if we look right here, early maps,":
    - generic: 10:17
    - generic: 10分钟17秒钟
    - text: from crits. So that is very very important. That's a pretty important step in the progression. Other than that, if we look right here, early maps,
  - button "10分钟25秒钟 the only thing that really changed is we're actually crafting a wand with essence. We're getting a little bit more spell damage. We're starting to get into":
    - generic: 10:25
    - generic: 10分钟25秒钟
    - text: the only thing that really changed is we're actually crafting a wand with essence. We're getting a little bit more spell damage. We're starting to get into
  - button "10分钟32秒钟 block just so we don't get uh we have some avoidance, right? Um we're getting resistances, especially chaos resistance is quite important. And yeah, movement":
    - generic: 10:32
    - generic: 10分钟32秒钟
    - text: block just so we don't get uh we have some avoidance, right? Um we're getting resistances, especially chaos resistance is quite important. And yeah, movement
  - button "10分钟41秒钟 speed a little bit. trying to get some crit multi on amulet. Otherwise, still there's still the crafted flat damage everywhere. Still have prison wave,":
    - generic: 10:41
    - generic: 10分钟41秒钟
    - text: speed a little bit. trying to get some crit multi on amulet. Otherwise, still there's still the crafted flat damage everywhere. Still have prison wave,
  - button "10分钟49秒钟 still have dodor tenure. In terms of skills, what happens early on is uh you will have less attack speed because of how the nerfs shaked out. So, as your":
    - generic: 10:49
    - generic: 10分钟49秒钟
    - text: still have dodor tenure. In terms of skills, what happens early on is uh you will have less attack speed because of how the nerfs shaked out. So, as your
  - button "10分钟57秒钟 fifth link, you actually want faster attacks support. You will most likely be getting your fifth five link from the beach in act six. So, that should be":
    - generic: 10:57
    - generic: 10分钟57秒钟
    - text: fifth link, you actually want faster attacks support. You will most likely be getting your fifth five link from the beach in act six. So, that should be
  - button "11分钟5秒钟 guaranteed. And with the socket changes, it is not a problem. So, that's why I put it in the early POB as well. You want the foster attacks instead of any damage early on just so the totem is feel a little bit better after that.":
    - generic: 11:05
    - generic: 11分钟5秒钟
    - text: guaranteed. And with the socket changes, it is not a problem. So, that's why I put it in the early POB as well. You want the foster attacks instead of any damage early on just so the totem is feel a little bit better after that.
  - button "11分钟17秒钟 Really important. We now do not need to scale reduced duration anymore which means that all our other skills are now way nicer to use. Your archinist brand":
    - generic: 11:17
    - generic: 11分钟17秒钟
    - text: Really important. We now do not need to scale reduced duration anymore which means that all our other skills are now way nicer to use. Your archinist brand
  - button "11分钟25秒钟 actually stays up for longer. So does your tornado flame wall elemental weakness. And it's actually the sole reason I reintroduced tornado into this setup. So Ellie weak flame wall tornado.":
    - generic: 11:25
    - generic: 11分钟25秒钟
    - text: actually stays up for longer. So does your tornado flame wall elemental weakness. And it's actually the sole reason I reintroduced tornado into this setup. So Ellie weak flame wall tornado.
  - button "11分钟35秒钟 This will more than double your damage on single target. So, whenever you fight like rough rares or um bosses, always put this down. It's super important.":
    - generic: 11:35
    - generic: 11分钟35秒钟
    - text: This will more than double your damage on single target. So, whenever you fight like rough rares or um bosses, always put this down. It's super important.
  - button "11分钟43秒钟 Shield charge, faster attacks, momentum.":
    - generic: 11:43
    - generic: 11分钟43秒钟
    - text: Shield charge, faster attacks, momentum.
  - button "11分钟45秒钟 Early on, you will want to go steel skin. I don't go armor anymore early. I actually think that purity of elements in Midame is better. That is something I":
    - generic: 11:45
    - generic: 11分钟45秒钟
    - text: Early on, you will want to go steel skin. I don't go armor anymore early. I actually think that purity of elements in Midame is better. That is something I
  - button "11分钟53秒钟 did change from the last progression, but if you want to, you still can. Just know that I go armor once I have Aegus Aurora and a light of meaning. We'll":
    - generic: 11:53
    - generic: 11分钟53秒钟
    - text: did change from the last progression, but if you want to, you still can. Just know that I go armor once I have Aegus Aurora and a light of meaning. We'll
  - button "12分钟1秒钟 discuss that in a second. Custom damage taken, steel skin, frenzy. Uh try to keep up your frenzy charges. quite nice. Um, anger.":
    - generic: 12:01
    - generic: 12分钟1秒钟
    - text: discuss that in a second. Custom damage taken, steel skin, frenzy. Uh try to keep up your frenzy charges. quite nice. Um, anger.
  - button "12分钟9秒钟 This is our flat damage. It's a big deal. Purity of elements you do during your progression once you get this cluster right here and the mana":
    - generic: 12:09
    - generic: 12分钟9秒钟
    - text: This is our flat damage. It's a big deal. Purity of elements you do during your progression once you get this cluster right here and the mana
  - button "12分钟17秒钟 reservation efficiency right here. So, that's pretty cool. After that, we have precision with arrogance and frostblink.":
    - generic: 12:17
    - generic: 12分钟17秒钟
    - text: reservation efficiency right here. So, that's pretty cool. After that, we have precision with arrogance and frostblink.
  - button "12分钟23秒钟 And this basically does not change up to early maps. Now, you will see in early maps I actually put in purity of elements and tempest shield because now I'm trying to get some spell block.":
    - generic: 12:23
    - generic: 12分钟23秒钟
    - text: And this basically does not change up to early maps. Now, you will see in early maps I actually put in purity of elements and tempest shield because now I'm trying to get some spell block.
  - 'button "第 9 章：Progression: Maps"':
    - 'heading "第 9 章：Progression: Maps" [level=3]'
  - button "12分钟32秒钟 We're not right side so we don't have access to spell suppression and it got nerfed. Anyways, so spell block is just extremely strong. So here you can see I'm already investing into some of them":
    - generic: 12:32
    - generic: 12分钟32秒钟
    - text: We're not right side so we don't have access to spell suppression and it got nerfed. Anyways, so spell block is just extremely strong. So here you can see I'm already investing into some of them
  - button "12分钟40秒钟 on the passive tree right here. I haven't quite grabbed this one yet, but I'm starting at this point and tempest shield. Um, yeah, just very, very nice.":
    - generic: 12:40
    - generic: 12分钟40秒钟
    - text: on the passive tree right here. I haven't quite grabbed this one yet, but I'm starting at this point and tempest shield. Um, yeah, just very, very nice.
  - button "12分钟48秒钟 Now, purity of elements, tempest shield already makes you shock immune, but I just like it really for the freeze immunity. If you don't know, usually the":
    - generic: 12:48
    - generic: 12分钟48秒钟
    - text: Now, purity of elements, tempest shield already makes you shock immune, but I just like it really for the freeze immunity. If you don't know, usually the
  - button "12分钟56秒钟 freeze immunity comes from soul of the brine king, which we don't know where it is on the Atlas this patch. you get the 100 chance to avoid being frozen. But":
    - generic: 12:56
    - generic: 12分钟56秒钟
    - text: freeze immunity comes from soul of the brine king, which we don't know where it is on the Atlas this patch. you get the 100 chance to avoid being frozen. But
  - button "13分钟3秒钟 until you get there, you don't just want to get frozen and die. At least I personally don't. So that's what I do.":
    - generic: 13:03
    - generic: 13分钟3秒钟
    - text: until you get there, you don't just want to get frozen and die. At least I personally don't. So that's what I do.
  - button "13分钟9秒钟 Otherwise, not really much changed. I'm still using steel skin. And there it goes. Now, after we got to red maps and got a little bit of currency, the first chase item you have is Wilma's Rquid.":
    - generic: 13:09
    - generic: 13分钟9秒钟
    - text: Otherwise, not really much changed. I'm still using steel skin. And there it goes. Now, after we got to red maps and got a little bit of currency, the first chase item you have is Wilma's Rquid.
  - button "13分钟20秒钟 This item makes it so increases and reductions to cast speed applied to attack speed. Now, this is an interesting ability because it actually double dips with a few things. For example, haste, which we're going to try":
    - generic: 13:20
    - generic: 13分钟20秒钟
    - text: This item makes it so increases and reductions to cast speed applied to attack speed. Now, this is an interesting ability because it actually double dips with a few things. For example, haste, which we're going to try
  - button "13分钟29秒钟 to fit in in endgame. Gives you both attack speed and cast speed, but it doubles. So, your cost speed gets converted to attack speed, so you actually get 48% attack speed in total.":
    - generic: 13:29
    - generic: 13分钟29秒钟
    - text: to fit in in endgame. Gives you both attack speed and cast speed, but it doubles. So, your cost speed gets converted to attack speed, so you actually get 48% attack speed in total.
  - button "13分钟37秒钟 In endgame, I'm also getting a medium cluster jewel with sleepless entries, which grants onslaught, 20% attack, and cost speed, equals 40% attack speed, and":
    - generic: 13:37
    - generic: 13分钟37秒钟
    - text: In endgame, I'm also getting a medium cluster jewel with sleepless entries, which grants onslaught, 20% attack, and cost speed, equals 40% attack speed, and
